,predictions_0,labels,aux_labels,loss_0,grad_norm_0,feat_norm_0
0,0,0,0,0.010805075988173485,0.39305016,0.365458
1,0,0,0,0.053025104105472565,1.9362048,0.44931164
2,0,0,0,0.01040286011993885,0.3850771,0.3962757
3,0,0,0,0.003654232481494546,0.14164913,0.37228695
4,0,0,1,0.016741378232836723,0.6835019,0.40713274
5,0,1,3,0.020133066922426224,0.71315366,0.46049374
6,0,0,0,0.02398010343313217,0.9004215,0.44470716
7,0,0,0,0.011771030724048615,0.3971426,0.416138
8,0,0,0,0.06004652753472328,1.7791405,0.35640877
9,0,1,3,0.08319984376430511,2.402137,0.4311511
10,1,0,0,0.15066967904567719,4.4100013,0.3847342
11,0,1,3,0.03082367591559887,1.1808704,0.41489092
12,0,0,0,0.06382004171609879,2.0910273,0.40330374
13,1,0,0,0.09595101326704025,3.4054532,0.43939975
14,0,0,0,1.1396598815917969,26.848047,0.40369934
15,0,0,0,0.010300451889634132,0.29078683,0.38088876
16,0,0,0,0.007596415467560291,0.2809983,0.4687123
17,0,0,0,0.02958284690976143,1.0481706,0.41154903
18,0,1,3,0.45651644468307495,11.658258,0.4515584
19,0,0,1,0.053945157676935196,1.5709754,0.5104393
20,0,0,0,0.007781667169183493,0.24715975,0.43654823
21,1,0,0,0.024220990017056465,0.72609985,0.43911818
22,0,0,0,0.010492753237485886,0.36935672,0.39616597
23,0,0,0,0.0030720680952072144,0.11949099,0.44974285
24,0,0,0,0.017198471352458,0.5826522,0.5068857
25,0,0,0,0.06141406297683716,2.1192575,0.41479495
26,0,0,0,0.25789675116539,7.293343,0.424036
27,0,0,0,0.010228948667645454,0.3873802,0.44600028
28,0,0,0,0.021037999540567398,0.78385496,0.41671088
29,0,0,0,0.10074274241924286,3.9608004,0.47650075
30,0,0,0,0.059821754693984985,2.0404034,0.44624215
31,0,0,0,0.10531625151634216,3.6100326,0.42949292
32,0,0,0,0.012185533531010151,0.43947056,0.40553197
33,1,0,0,0.00848557148128748,0.35853744,0.3694766
34,0,0,0,0.021866071969270706,0.71532345,0.52403414
35,0,0,0,0.010672987438738346,0.5061529,0.48419696
36,0,0,0,0.10190000385046005,4.40934,0.3886569
37,0,0,0,0.037124525755643845,1.322778,0.45072195
38,0,0,0,0.09823402762413025,3.5023112,0.42195332
39,0,0,0,0.6281189918518066,16.860111,0.40142378
40,1,0,0,0.012103447690606117,0.40125942,0.39173245
41,0,0,0,0.01829148270189762,0.66780657,0.4354623
42,0,0,0,0.07994183152914047,2.9935944,0.4047807
43,0,0,0,3.097593069076538,34.614265,0.40650523
44,0,0,0,0.06084315851330757,2.0123546,0.4790729
45,0,1,3,0.011144298128783703,0.42233548,0.40752771
46,0,0,0,0.03013312816619873,1.1115595,0.3434757
47,0,0,0,0.07350488752126694,2.5679798,0.49525705
48,0,0,0,0.054036300629377365,2.1051536,0.5102222
49,0,0,0,0.8344438076019287,24.006603,0.4514476
50,0,0,0,0.022348690778017044,0.9843742,0.43930066
51,0,0,0,0.23889747262001038,7.652277,0.3987729
52,0,0,0,0.19086222350597382,6.73544,0.45711073
53,0,1,3,0.029595578089356422,0.9152401,0.43141294
54,0,0,0,0.06469513475894928,2.2194278,0.46852803
55,0,0,0,0.10407356172800064,3.4040349,0.4276619
56,0,0,0,0.0357593409717083,1.200369,0.39010477
57,0,0,0,1.2539645433425903,26.30369,0.53111994
58,0,0,0,0.5419583320617676,14.516408,0.37971115
59,0,1,3,0.036946699023246765,1.1853253,0.3687141
60,0,0,0,0.00358118349686265,0.13025443,0.4283719
61,0,1,3,0.21057915687561035,6.843642,0.41656256
62,1,0,0,0.10989169031381607,4.071005,0.35747832
63,0,0,0,0.1697777360677719,5.7422166,0.38454282
64,0,0,0,0.10863757133483887,3.4381921,0.42054495
65,0,1,3,0.04324333742260933,1.6300511,0.45559338
66,0,1,3,0.011290586553514004,0.4188578,0.3968709
67,0,0,0,0.0805603414773941,2.6659727,0.41244334
68,0,0,1,0.16818556189537048,6.2905283,0.4050689
69,0,0,0,0.036058008670806885,1.1322889,0.49476394
70,0,0,0,0.2078457921743393,6.5205665,0.49067926
71,0,0,0,0.02772810496389866,1.0726198,0.35441506
72,0,0,0,0.01501649059355259,0.48215663,0.36025226
73,0,0,0,0.02202456071972847,0.90957,0.4533622
74,0,0,0,0.08788991719484329,2.7968118,0.39791688
75,0,0,0,0.055276501923799515,2.1345863,0.49647516
76,1,1,3,0.2646867632865906,7.553755,0.4401322
77,0,1,3,0.3764181435108185,11.579624,0.53121305
78,0,0,0,0.034244854003190994,1.295001,0.3946983
79,0,0,0,0.06896013021469116,2.4755561,0.3303601
80,0,0,0,0.5496969223022461,14.484057,0.38712084
81,1,1,3,0.04315280169248581,1.3230019,0.4445963
82,1,0,0,0.11014307290315628,3.689591,0.40433738
83,0,0,0,0.02022676356136799,0.74967754,0.4022023
84,0,0,0,0.14500568807125092,5.3929253,0.4649982
85,0,0,1,0.031459107995033264,1.2370338,0.49253932
86,0,0,0,0.3269520401954651,9.339521,0.44405156
