,labels,aux_labels,predictions_0,loss_0,grad_norm_0,feat_norm_0
0,0,0,0,0.01047211,0.38296452,0.38107467
1,0,0,0,0.05832711,2.1200867,0.47003567
2,0,0,0,0.0109059,0.41014823,0.40425104
3,0,0,0,0.0047678356,0.18484023,0.38391066
4,0,1,0,0.020510718,0.8480762,0.40125176
5,1,3,0,0.02009498,0.71206003,0.46973062
6,0,0,0,0.02060216,0.7876784,0.45332992
7,0,0,0,0.011223869,0.3832813,0.4250379
8,0,0,0,0.054889526,1.6501663,0.37362602
9,1,3,0,0.09688783,2.7921531,0.4387315
10,0,0,1,0.13135539,3.9661875,0.39849627
11,1,3,0,0.03569194,1.3510917,0.4306334
12,0,0,0,0.07140154,2.3420215,0.4142494
13,0,0,1,0.102443755,3.675281,0.44759834
14,0,0,0,1.1033388,26.78624,0.41499287
15,0,0,0,0.01100353,0.31398112,0.37857276
16,0,0,0,0.011525358,0.41337547,0.48613805
17,0,0,0,0.03275576,1.1476902,0.42714506
18,1,3,0,0.46881115,12.0589,0.4538157
19,0,1,0,0.059704185,1.7098843,0.5081208
20,0,0,0,0.00913559,0.29024202,0.44721556
21,0,0,1,0.024338504,0.73342794,0.45003086
22,0,0,0,0.011183318,0.40386122,0.4029798
23,0,0,0,0.0030846654,0.12079147,0.4563132
24,0,0,0,0.018722598,0.6372674,0.5237042
25,0,0,0,0.0710534,2.4909627,0.42408934
26,0,0,0,0.23936789,6.895937,0.43312842
27,0,0,0,0.010894108,0.41962975,0.46900177
28,0,0,0,0.024213428,0.87406015,0.42172235
29,0,0,0,0.10462838,4.1818523,0.49329668
30,0,0,0,0.06254807,2.1856244,0.4545232
31,0,0,0,0.09674013,3.4045854,0.43586963
32,0,0,0,0.01206411,0.43860006,0.41101164
33,0,0,1,0.008673141,0.3650147,0.38784397
34,0,0,0,0.026646294,0.86361897,0.55345047
35,0,0,0,0.011031355,0.52527833,0.48613775
36,0,0,0,0.1265838,5.331546,0.40731308
37,0,0,0,0.04250111,1.4966482,0.46758193
38,0,0,0,0.11198455,4.062642,0.43260384
39,0,0,0,0.61199325,16.669764,0.41748935
40,0,0,1,0.0140071185,0.4698925,0.3962328
41,0,0,0,0.018613432,0.69519854,0.4557234
42,0,0,0,0.085749574,3.2284973,0.41979557
43,0,0,0,3.0428107,35.28925,0.41401812
44,0,0,0,0.06073423,2.0380197,0.48795357
45,1,3,0,0.0114332,0.44246668,0.41364837
46,0,0,0,0.03125231,1.1649595,0.35348576
47,0,0,0,0.08458704,2.9764404,0.5037179
48,0,0,0,0.053568512,2.1123967,0.5208062
49,0,0,0,0.75735426,22.463104,0.46753633
50,0,0,0,0.023852887,1.0480541,0.47611663
51,0,0,0,0.2788773,8.859719,0.42324293
52,0,0,0,0.21080337,7.394333,0.47067428
53,1,3,0,0.030440187,0.9580182,0.43837318
54,0,0,0,0.06374891,2.1879537,0.47974688
55,0,0,0,0.10785865,3.6034553,0.43302456
56,0,0,0,0.04522224,1.4804457,0.4074754
57,0,0,0,1.2619472,26.026674,0.5423197
58,0,0,0,0.48364678,13.474829,0.3938194
59,1,3,0,0.037887625,1.2200825,0.38739228
60,0,0,0,0.004788242,0.1710649,0.44709876
61,1,3,0,0.25019598,8.140993,0.4321861
62,0,0,1,0.11396732,4.2106466,0.38191846
63,0,0,0,0.17035137,5.7560945,0.39749965
64,0,0,0,0.10218042,3.2792542,0.43665367
65,1,3,0,0.037664127,1.3977689,0.46697468
66,1,3,0,0.014299778,0.5272837,0.40449065
67,0,0,0,0.08864385,2.954258,0.42301965
68,0,1,0,0.15730679,5.7996693,0.42215544
69,0,0,0,0.03604421,1.1661861,0.5131491
70,0,0,0,0.19434057,6.3188586,0.5047035
71,0,0,0,0.030737903,1.2028726,0.36963534
72,0,0,0,0.014734965,0.47677213,0.37260777
73,0,0,0,0.023028323,0.9449153,0.46544206
74,0,0,0,0.10291365,3.1548266,0.40485358
75,0,0,0,0.05795526,2.2493804,0.5120785
76,1,3,1,0.25897285,7.4033585,0.44661063
77,1,3,0,0.40924913,12.210036,0.55147207
78,0,0,0,0.027614353,1.0254714,0.40768087
79,0,0,0,0.06208548,2.2910244,0.3405422
80,0,0,0,0.6133319,15.68014,0.4068698
81,1,3,1,0.038453203,1.210636,0.45161492
82,0,0,1,0.11462138,3.8536284,0.41134325
83,0,0,0,0.022718864,0.83307207,0.41646147
84,0,0,0,0.16412535,5.9446435,0.4761222
85,0,1,0,0.03419463,1.3417834,0.50689906
86,0,0,0,0.3113895,9.082964,0.4498289
87,0,0,0,0.01983358,0.8221308,0.48167926
88,0,1,0,0.07624701,2.7448776,0.41959488
89,0,0,1,0.008978235,0.28668025,0.51040196
90,0,0,0,0.039341826,1.2851974,0.47462124
91,0,0,0,0.053169914,1.6288534,0.38622326
92,0,0,0,0.07906941,2.4791274,0.5409896
93,1,3,0,0.03030558,1.0701797,0.42777532
94,0,0,0,0.14306219,5.138953,0.45758888
95,0,0,0,0.0148012135,0.4685715,0.4761219
96,0,0,0,0.016952137,0.5771538,0.36239243
97,0,0,0,0.17027093,5.532329,0.43932784
98,0,0,0,0.004146194,0.15177561,0.42104542
99,1,3,0,0.060377423,2.2276144,0.44919845
100,0,0,0,0.48911107,13.073553,0.4425657
101,0,0,0,0.13804384,5.006247,0.48693883
102,0,0,0,0.12596034,4.2582364,0.38604212
103,1,3,0,0.03959692,1.1918025,0.47312462
104,0,0,0,0.13818857,4.23982,0.460249
105,1,3,0,0.024636647,0.93276054,0.415638
106,0,0,0,0.09847226,3.412371,0.5246581
107,1,3,0,0.07306928,2.4390507,0.4884761
108,0,0,0,0.3423907,9.99868,0.43534788
109,0,0,0,0.17893629,5.5823684,0.45407194
110,1,2,0,0.043432493,1.6191661,0.41049898
111,1,3,0,0.10762104,3.6093383,0.42721415
112,0,0,0,0.034107417,1.2900655,0.39568478
113,1,3,0,0.07133195,3.0847409,0.4268201
114,0,0,0,0.068677805,2.4343717,0.4781333
115,1,3,0,0.0177795,0.6925561,0.4153426
116,0,0,0,0.36428496,8.675999,0.51714414
117,0,0,0,0.019808803,0.7645619,0.48578176
118,0,0,0,0.025325071,0.9479271,0.4496426
119,1,3,0,0.007489342,0.2592477,0.4070983
120,1,3,0,0.04537844,1.5101082,0.42413157
121,1,3,0,1.5807865,26.94303,0.42063475
122,0,0,0,0.055997703,1.9567599,0.37366349
123,1,2,0,0.0603864,2.062752,0.4479342
124,1,3,0,0.043961287,1.4242971,0.4688669
125,0,0,0,0.045913152,1.5589584,0.42900193
126,1,3,0,0.1061499,3.8204598,0.44725594
127,1,2,0,0.02602963,0.84981596,0.44526264
128,0,0,0,0.19378997,6.0762177,0.39748496
129,0,0,0,0.023904102,0.85338455,0.4781484
130,0,0,0,0.054528028,2.2698874,0.40585005
131,0,1,0,0.08254949,2.6405141,0.37032297
132,0,0,0,0.15945642,4.883771,0.45093822
133,0,0,0,0.026581056,0.87140614,0.4119312
134,0,0,0,0.02299745,0.90726775,0.4490594
135,0,0,0,0.075228505,2.453827,0.36968014
136,0,0,0,0.21841782,8.000072,0.41509748
137,0,1,0,0.07587613,2.046522,0.41350734
138,0,0,0,0.061165936,2.1434343,0.43813705
139,0,0,0,0.38582197,11.522103,0.4346773
140,0,0,0,0.078576826,2.370941,0.4500029
141,0,0,0,0.009663115,0.32811958,0.35821772
142,0,0,0,0.0978069,3.4828873,0.41971418
143,0,0,0,0.3078054,10.430249,0.4224471
144,0,0,0,0.051965915,1.9501114,0.4164942
145,0,0,0,0.69981515,18.20518,0.49848577
146,0,0,1,0.099143766,3.2657576,0.4653632
147,1,3,0,0.04139011,1.3218186,0.4201179
148,0,0,0,0.025081543,0.8179919,0.39794928
149,0,0,0,0.13466087,4.9396777,0.3656869
150,1,3,0,0.049756836,1.9343122,0.5030422
151,0,0,0,0.0936389,2.90978,0.40784317
152,0,0,0,0.99798954,22.271212,0.5228026
153,1,3,0,0.024429597,0.87111056,0.39803314
154,0,0,0,0.0756162,2.4554198,0.4442325
155,0,1,0,0.06658658,2.1317623,0.37373298
156,0,1,0,0.019615246,0.6945167,0.48938757
157,0,0,0,0.02778515,1.0030426,0.45631474
158,0,0,0,0.02818287,1.1030002,0.46247792
159,0,0,0,0.12680803,3.9559655,0.47952527
160,1,3,0,0.23306786,7.90368,0.44145352
161,1,2,0,0.00737776,0.27364722,0.4428993
