,labels,predictions,aux_labels,loss,grad_norm
0,0,0,0,12.894429206848145,33.23534
1,0,0,0,13.105006217956543,39.420918
2,0,0,0,13.712821960449219,35.12093
3,0,0,0,13.038933753967285,31.068495
4,0,0,1,14.977472305297852,37.855247
5,1,1,3,11.250530242919922,33.998077
6,0,0,0,13.280691146850586,37.543133
7,0,0,0,10.534527778625488,27.561504
8,0,0,0,9.751158714294434,29.96966
9,1,1,3,8.294672012329102,33.85724
10,0,0,0,8.716962814331055,31.077127
11,1,1,3,15.010692596435547,40.443134
12,0,0,0,10.279182434082031,32.44978
13,0,0,0,12.026385307312012,34.092613
14,0,0,0,8.94371223449707,42.831547
15,0,0,0,11.526712417602539,26.469007
16,0,0,0,19.404136657714844,46.356014
17,0,0,0,7.986358642578125,29.813362
18,1,1,3,8.678592681884766,31.566843
19,0,0,1,11.129358291625977,34.721447
20,0,0,0,8.70046615600586,23.811234
21,0,0,0,11.179061889648438,28.990509
22,0,0,0,9.344632148742676,27.355314
23,0,0,0,15.27298355102539,34.1468
24,0,0,0,16.749187469482422,41.8024
25,0,0,0,11.53671932220459,34.771133
26,0,0,0,8.762855529785156,34.738514
27,0,0,0,14.725414276123047,33.983154
28,0,0,0,9.701860427856445,27.78166
29,0,0,0,13.417634963989258,43.907455
30,0,0,0,8.504240036010742,38.708736
31,0,0,0,13.667427062988281,38.630665
32,0,0,0,9.471382141113281,29.412733
33,0,0,0,10.511608123779297,33.877655
34,0,0,0,16.14533233642578,34.418
35,0,0,0,16.296710968017578,50.337307
36,0,0,0,10.379368782043457,45.83813
37,0,0,0,10.356985092163086,28.992575
38,0,0,0,8.797798156738281,36.849976
39,0,0,0,9.56875228881836,38.133167
40,0,0,0,12.090263366699219,30.60206
41,0,0,0,13.433055877685547,33.37514
42,0,0,0,12.776251792907715,42.463135
43,0,0,0,10.819523811340332,48.499508
44,0,0,0,14.559004783630371,38.449085
45,1,1,3,9.97558307647705,28.858875
46,0,0,0,15.96408462524414,36.448395
47,0,0,0,15.266117095947266,38.81461
48,0,0,0,9.959854125976562,40.087547
49,0,0,0,12.941720008850098,50.20135
50,0,0,0,15.187580108642578,43.096138
51,0,0,0,8.86999225616455,37.643208
52,0,0,0,10.406110763549805,43.098335
53,1,1,3,13.001810073852539,32.841175
54,0,0,0,14.434286117553711,35.495346
55,0,0,0,12.781685829162598,36.714798
56,0,0,0,15.161211013793945,42.610912
57,0,0,0,10.776369094848633,43.76269
58,0,0,0,12.140429496765137,37.735893
59,1,1,3,13.264394760131836,30.299166
60,0,0,0,10.63248062133789,25.594236
61,1,1,3,10.138326644897461,38.70978
62,0,0,0,15.329920768737793,42.24889
63,0,0,0,10.321860313415527,36.499928
64,0,0,0,12.288679122924805,33.07342
65,1,1,3,9.650009155273438,33.139797
66,1,1,3,14.19061279296875,33.709743
67,0,0,0,11.177459716796875,35.159683
68,0,0,1,9.288007736206055,42.42572
69,0,0,0,10.664194107055664,28.838863
70,0,0,0,9.692517280578613,37.050976
71,0,0,0,12.146068572998047,38.92632
72,0,0,0,14.75140380859375,32.31237
73,0,0,0,17.093339920043945,41.561306
74,0,0,0,11.663186073303223,39.24516
75,0,0,0,14.138200759887695,39.311043
76,1,1,3,10.458059310913086,36.730762
77,1,1,3,9.698066711425781,39.073814
78,0,0,0,13.005661964416504,35.10269
79,0,0,0,12.934944152832031,37.070076
80,0,0,0,8.781135559082031,36.8899
81,1,1,3,15.21322250366211,36.540043
82,0,0,0,10.759340286254883,34.106483
83,0,0,0,11.215980529785156,38.776215
84,0,0,0,10.502605438232422,42.713833
85,0,0,1,9.857320785522461,40.768356
